"row_id","day","month","year","start_time","end_time","minutes","person_minutes","crew","crew_size","plot","road_initials","point_num","area","treatment_type_short","treatment_type_long","treatment_year","weather","lat","long","tree_id","species","dbh_sapling","total_height_sapling","count_seedling","insect_disease_presence","browsing_damage","total_count","notes"
114,8,6,2022,1340,1354,14,56,"SA, HA, GT, TM",4,"FM_BC_27","BC",27,"Lakehouse","shelterwood","shelterwood/thin from below",2019,"clear",37.538439,105.394428,NA,"POTR",NA,NA,5,"0","0",5,""
115,8,6,2022,1015,1053,38,152,"SA, HA, GT, TM",4,"FM_LHP_18","LHP",18,"Lakehouse","unknown","unknown",2016,"clear",37.551522,105.388866,NA,"AICO",NA,NA,2,"0","0",2,""
116,8,6,2022,1015,1053,38,152,"SA, HA, GT, TM",4,"FM_LHP_18","LHP",18,"Lakehouse","unknown","unknown",2016,"clear",37.551522,105.388866,NA,"PSME",NA,NA,3,"0","0",3,""
117,8,6,2022,849,933,44,176,"SA, HA, GT, TM",4,"FM_BC_19","BC",19,"Lakehouse","thin from below","thin from below",2015,"clear",37.55221,105.397309,NA,"none",NA,NA,0,NA,NA,0,""
118,8,6,2022,1400,1428,28,112,"SA, HA, GT, TM",4,"FM_BC_35","BC",35,"Lakehouse","unknown","unknown",2010,"clear",37.53417,105.388911,NA,"PSME",NA,NA,9,"0","15",9,""
119,8,6,2022,1400,1428,28,112,"SA, HA, GT, TM",4,"FM_BC_35","BC",35,"Lakehouse","unknown","unknown",2010,"clear",37.53417,105.388911,1,"ABCO",3.7,2.37,NA,"0","0",1,""
120,8,6,2022,1313,1326,13,52,"SA, HA, GT, TM",4,"FM_BC_21","BC",21,"Lakehouse","unknown","unknown",2009,"clear",37.54203,105.393402,NA,"PSME",NA,NA,1,"0","0",1,""
121,8,6,2022,1113,1129,16,64,"SA, HA, GT, TM",4,"FM_LHP_20","LHP",20,"Lakehouse","unknown","unknown",2009,"clear",37.547452,105.390471,NA,"none",NA,NA,0,NA,NA,0,""
122,30,6,2022,1024,1115,51,102,"HA, TM",2,"FM_S_135","S",135,"Baldies","Unknown","unknown",2018,"sunny, clear",37.339181,-105.289781,NA,"POTR",NA,NA,109,"N","80",109,""
123,30,6,2022,1024,1115,51,102,"HA, TM",2,"FM_S_135","S",135,"Baldies","Unknown","unknown",2018,"sunny, clear",37.339181,-105.289781,1,"ABCO",9,3.5,NA,"Y","N",1,""
124,30,6,2022,1024,1115,51,102,"HA, TM",2,"FM_S_135","S",135,"Baldies","Unknown","unknown",2018,"sunny, clear",37.339181,-105.289781,2,"ABCO",4,2.4,NA,"Y","N",1,""
125,30,6,2022,1024,1115,51,102,"HA, TM",2,"FM_S_135","S",135,"Baldies","Unknown","unknown",2018,"sunny, clear",37.339181,-105.289781,3,"ABCO",5,2.8,NA,"Y","Y",1,""
126,30,6,2022,1024,1115,51,102,"HA, TM",2,"FM_S_135","S",135,"Baldies","Unknown","unknown",2018,"sunny, clear",37.339181,-105.289781,NA,"PSME",NA,NA,11,"50","50",11,""
127,30,6,2022,855,918,23,46,"HA, TM",2,"FM_LS_126","LS",126,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny, clear",37.343505,-105.296483,NA,"PSME",NA,NA,1,"0","100",1,""
128,30,6,2022,1132,1214,42,84,"HA, TM",2,"FM_S_134","S",134,"Baldies","Unknown","unknown",2018,"sunny",37.341009,-105.289531,NA,"POTR",NA,NA,57,"20","80",57,"galls"
129,30,6,2022,1132,1214,42,84,"HA, TM",2,"FM_S_134","S",134,"Baldies","Unknown","unknown",2018,"sunny",37.341009,-105.289531,NA,"ABCO",NA,NA,3,"33","33",3,"budworm"
130,30,6,2022,1132,1214,42,84,"HA, TM",2,"FM_S_134","S",134,"Baldies","Unknown","unknown",2018,"sunny",37.341009,-105.289531,NA,"PSME",NA,NA,2,"2","0",2,""
131,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,1,"JUSC",5,2.6,NA,"N","N",1,"multistemmed"
132,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,2,"JUSC",4,2.6,NA,"N","N",1,"multistemmed"
133,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,3,"JUSC",3,2.6,NA,"N","N",1,"multistemmed"
134,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,4,"JUSC",3,2.6,NA,"N","N",1,"multistemmed"
135,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,5,"JUSC",6,2.6,NA,"N","N",1,"multistemmed"
136,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,6,"JUSC",6,2.6,NA,"N","N",1,"multistemmed"
137,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,7,"JUSC",4,2.6,NA,"N","N",1,"multistemmed"
138,30,6,2022,1325,1331,6,12,"HA, TM",2,"FM_S_133","S",133,"Baldies","Unknown","unknown",2018,"sunny, clear",37.344252,-105.287712,8,"JUSC",3,2.6,NA,"N","N",1,"multistemmed"
139,30,6,2022,1359,1408,9,18,"HA, TM",2,"FM_SR_112","SR",112,"Baldies","Unknown","unknown",2020,"sunny, clear",37.344928,-105.292124,NA,"none",NA,NA,0,NA,NA,0,""
140,30,6,2022,1444,1500,16,32,"HA, TM",2,"FM_LB_103","LB",103,"Baldies","Unknown","unknown",2019,"sunny",37.36545,-105.286323,NA,"none",NA,NA,0,NA,NA,0,""
141,1,7,2022,1230,1330,60,120,"HA, TM",2,"FM_LS_131","LS",131,"Baldies","shelterwood","shelterwood",2020,"cloudy",37.351688,-105.302535,NA,"JUSC",NA,NA,1,"0","0",1,"plot within untreated gully"
142,1,7,2022,1230,1330,60,120,"HA, TM",2,"FM_LS_131","LS",131,"Baldies","shelterwood","shelterwood",2020,"cloudy",37.351688,-105.302535,NA,"ABCO",NA,NA,4,"0","50",4,"plot within untreated gully"
143,1,7,2022,1230,1330,60,120,"HA, TM",2,"FM_LS_131","LS",131,"Baldies","shelterwood","shelterwood",2020,"cloudy",37.351688,-105.302535,NA,"POTR",NA,NA,4,"50","0",4,"plot within untreated gully"
144,1,7,2022,1230,1330,60,120,"HA, TM",2,"FM_LS_131","LS",131,"Baldies","shelterwood","shelterwood",2020,"cloudy",37.351688,-105.302535,1,"ABCO",3,2,NA,"N","N",1,"plot within untreated gully"
145,1,7,2022,1230,1330,60,120,"HA, TM",2,"FM_LS_131","LS",131,"Baldies","shelterwood","shelterwood",2020,"cloudy",37.351688,-105.302535,2,"ABCO",5,2.3,NA,"N","N",1,"plot within untreated gully"
146,1,7,2022,1230,1330,60,120,"HA, TM",2,"FM_LS_131","LS",131,"Baldies","shelterwood","shelterwood",2020,"cloudy",37.351688,-105.302535,NA,"PSME",NA,NA,1,"N","N",1,"plot within untreated gully"
147,1,7,2022,1440,1524,44,88,"HA, TM",2,"FM_LS_123","LS",123,"Baldies","shelterwood","shelterwood/thin from below",2021,"overcast",37.348828,-105.299938,NA,"ABCO",NA,NA,2,"0","100",2,""
148,1,7,2022,1440,1524,44,88,"HA, TM",2,"FM_LS_123","LS",123,"Baldies","shelterwood","shelterwood/thin from below",2021,"overcast",37.348828,-105.299938,NA,"PSME",NA,NA,1,"0","100",1,""
149,1,7,2022,1409,1419,10,20,"HA, TM",2,"FM_LS_132","LS",132,"Baldies","shelterwood","shelterwood/thin from below",2021,"overcast",37.350481,-105.301326,NA,"ABCO",NA,NA,5,"Not specified","Not specified",5,"in skid road, mechanical damage"
150,1,7,2022,1409,1419,10,20,"HA, TM",2,"FM_LS_132","LS",132,"Baldies","shelterwood","shelterwood/thin from below",2021,"overcast",37.350481,-105.301326,NA,"PSME",NA,NA,4,"Not specified","Not specified",4,"in skid road, mechanical damage"
151,23,6,2022,1440,1507,27,81,"KV, ES, TM",3,"FM_NWCF_72","NWCF",72,"2018 Burn","shelterwood","shelterwood/mastecation",2017,"cloudy, warm",37.500841,-105.268768,NA,"none",NA,NA,0,NA,NA,0,""
152,11,7,2022,914,1004,46,92,"SA, TM",2,"FM_LS_124","LS",124,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny",37.347802,-105.296202,NA,"ABCO",NA,NA,1,"N","N",1,"some dieback"
